Parameter Name                 Value
m0                             1.053294577677544e-03
m0                             1.559281210795537e-03
m0                             1.051626309248448e-03
m0                             2.098315538004097e-03
m0                             2.220487214418067e-03
m0                             2.491269312346917e-03
m0                             2.734617248299876e-03
m0                             3.073290480275886e-03
m0                             4.208672481114411e-03
m0                             4.219236327237159e-03
m0                             4.608375856331426e-03
m0                             -1.414557726366348e-03
m0                             -1.780646834409141e-03
m0                             -1.926713029932499e-03
m0                             -4.599207494677911e-03
m0                             -1.642973712888245e-04
m0                             -5.232406428397626e-03
m0                             6.012993850156533e-03
m0                             4.265223122295699e-03
m0                             4.746091221320471e-03
m0                             4.864840749024529e-03
m0                             2.295402377939279e-03
m0                             3.736852733855686e-03
m0                             5.011511493654929e-03
m0                             4.708017131691736e-03
m0                             4.839844746814216e-03
m0                             4.759835303416512e-03
m0                             5.234039037751952e-03
m0                             5.406423203769752e-03
m0                             4.577771166776884e-03
m0                             4.068033450656016e-03
m0                             4.741110234372383e-03
m0                             3.721403351472396e-03
m0                             3.146156159265833e-03
m0                             4.362735601418755e-03
m0                             5.378323007646660e-03
m0                             4.162384212163160e-03
m0                             5.766506934086217e-03
m0                             4.152799330794426e-03
m0                             4.883848703847888e-03
m0                             3.281131277539711e-03
m0                             3.895354889988849e-03
m0                             3.018283477901724e-03
m0                             5.145206885876126e-03
m0                             3.791587186109177e-03
m0                             4.102596696671856e-03
m0                             2.733181738677007e-03
m0                             3.866740264681219e-03
m0                             4.316100038572059e-03
m0                             2.824541446430572e-03
m0                             5.517793824401579e-03
m0                             2.708849196420491e-03
m0                             3.166206372654478e-03
m0                             2.990490362017620e-03
m0                             4.728776176546060e-03
m0                             4.943182382788772e-03
m0                             3.655912316979487e-03
m0                             2.081432226097262e-03
m0                             2.148193625184322e-03
m0                             1.089975313314712e-03
m0                             4.459135956445707e-03
m0                             2.699682903533743e-03
m0                             1.279545681169606e-03
m0                             2.519295035344963e-03
m0                             3.260175965032124e-04
m0                             3.195743258918614e-03
m0                             1.575987245968506e-03
m0                             3.025298991336143e-03
m0                             1.857053940168178e-03
m0                             1.366122778609424e-03
m0                             3.154019676091623e-03
m0                             1.377153987430586e-03
m0                             5.901257881967372e-04
m0                             2.960937227801428e-03
m0                             2.050773588873788e-03
m0                             9.417681831155600e-04
m0                             2.259023595555756e-03
m0                             2.188744148266467e-03
m0                             1.529764887773588e-03
m0                             2.418933095636071e-03
m0                             1.120086318959395e-03
m0                             1.402270390791565e-03
m0                             1.598139509863664e-03
m0                             -4.331154760856843e-04
m0                             3.112462243456961e-04
m0                             -7.585218280913253e-04
m0                             4.799719838135138e-04
m0                             -6.394954371690620e-04
m0                             -9.441519862300372e-06
m0                             -5.779436680054655e-04
m0                             1.904211856469465e-03
m0                             9.400661882344153e-04
m0                             1.991907729899767e-03
m0                             2.464514475926747e-03
m0                             2.902613474706080e-03
m0                             3.620512221217294e-03
m0                             2.667711561682404e-03
m0                             4.766241228173176e-03
m0                             4.545767140818458e-03
m0                             7.250521502910673e-03
m0                             6.340005805703551e-03
m0                             6.890120752622016e-03
m0                             8.262680499287006e-03
m0                             7.752716726820422e-03
m0                             9.105253068304585e-03
m0                             8.771096744875955e-03
m0                             9.870571650116263e-03
m0                             9.958797645523244e-03
m0                             1.015833199854668e-02
m0                             1.046906483113316e-02
m0                             1.077222188189602e-02
m0                             1.167775998876038e-02
m0                             1.104677614642525e-02
m0                             1.151996760823827e-02
m0                             1.063463215028430e-02
m0                             9.865714942757023e-03
m0                             8.912874571417217e-03
m0                             8.410142328694335e-03
m0                             8.259558589171132e-03
m0                             8.050147826067328e-03
m0                             7.844367470789605e-03
m0                             7.626980382510594e-03
m0                             7.451526117472416e-03
m0                             7.182879919916905e-03
m0                             6.921226097530787e-03
m0                             6.912511887791468e-03
m0                             1.156295639857658e-03
m0                             1.577619582957491e-03
m0                             1.085590960989407e-03
m0                             2.148145842857746e-03
m0                             2.246095863116695e-03
m0                             2.579509046818431e-03
m0                             2.783912068087573e-03
m0                             3.412890773967986e-03
m0                             3.836069732555554e-03
m0                             7.046776481439611e-03
m0                             9.462265745491182e-03
m0                             -2.197234365169282e-03
m0                             -2.284642543999685e-02
m0                             -3.184323936989533e-02
m0                             -5.620287632675609e-02
m0                             -1.703299709961947e-02
m0                             -3.060922302802166e-02
m0                             -1.167456366983127e-01
m0                             -1.345223841090513e-01
m0                             -1.052384723410859e-01
m0                             -1.038801165384783e-01
m0                             1.437080091330487e-03
m0                             -4.908173625320186e-02
m0                             -6.724375425189434e-02
m0                             -7.081511051928069e-02
m0                             -8.173788408976221e-02
m0                             -6.512067064359445e-02
m0                             -8.963583601538584e-02
m0                             -6.645492979582747e-02
m0                             -5.874878574042026e-02
m0                             -3.490254151865461e-02
m0                             -7.532321087463485e-02
