Parameter Name                 Value
m0                             9.688750993987509e-04
m0                             1.464708074472082e-03
m0                             9.686365448843113e-04
m0                             1.931830186290634e-03
m0                             2.028047098150604e-03
m0                             2.262779710554843e-03
m0                             2.486688394786839e-03
m0                             2.779419404637952e-03
m0                             3.868010753290546e-03
m0                             3.871417902140775e-03
m0                             4.260820452358515e-03
m0                             -1.586389676941099e-03
m0                             -1.872527844139466e-03
m0                             -1.987509785367208e-03
m0                             -4.559035047980705e-03
m0                             -2.659173785121675e-04
m0                             -5.359208956272659e-03
m0                             5.894644061636878e-03
m0                             4.047836542327767e-03
m0                             4.643999726689330e-03
m0                             4.675379734645767e-03
m0                             2.180172342067803e-03
m0                             3.628205500513882e-03
m0                             4.791426178351836e-03
m0                             4.511038117652229e-03
m0                             4.663198817762468e-03
m0                             4.504282986554435e-03
m0                             5.099624645549119e-03
m0                             5.152434761235230e-03
m0                             4.428335471683587e-03
m0                             3.832745673957798e-03
m0                             4.501819300896978e-03
m0                             3.490653691449274e-03
m0                             2.973887251863851e-03
m0                             4.072532646947821e-03
m0                             5.062194356757174e-03
m0                             3.891315733107773e-03
m0                             5.503061022462093e-03
m0                             3.993169616865621e-03
m0                             4.749852864507648e-03
m0                             3.158982078501282e-03
m0                             3.771082347531692e-03
m0                             2.926094370709694e-03
m0                             4.885131614109950e-03
m0                             3.514388126081108e-03
m0                             3.927210455927336e-03
m0                             2.554646170938405e-03
m0                             3.879880327499832e-03
m0                             4.252663971504061e-03
m0                             3.004127185359412e-03
m0                             5.330458528766818e-03
m0                             2.718982937800934e-03
m0                             3.113912840192214e-03
m0                             2.803484315603096e-03
m0                             4.579445173177977e-03
m0                             4.795474764602620e-03
m0                             3.537056033294184e-03
m0                             2.183202898073690e-03
m0                             2.170792152908924e-03
m0                             1.218529206147603e-03
m0                             4.115075746838368e-03
m0                             2.729129387664490e-03
m0                             1.184334030667509e-03
m0                             2.609931226312734e-03
m0                             1.986612427743961e-04
m0                             3.163776114163078e-03
m0                             1.371796964523123e-03
m0                             2.980526553738227e-03
m0                             1.767835583855126e-03
m0                             1.418847172694996e-03
m0                             2.964842482388090e-03
m0                             1.399539311007115e-03
m0                             4.943823889819402e-04
m0                             2.887278902306965e-03
m0                             1.933058385941366e-03
m0                             8.006290093014643e-04
m0                             2.145512148286496e-03
m0                             2.010246839036386e-03
m0                             1.406151242576134e-03
m0                             2.177915693028884e-03
m0                             1.029408088932408e-03
m0                             1.308424061388247e-03
m0                             1.504631215666432e-03
m0                             -3.459341891431804e-04
m0                             2.994722906328872e-04
m0                             -6.720202953966506e-04
m0                             3.979171545951775e-04
m0                             -5.651534631128431e-04
m0                             -1.408108572441357e-04
m0                             -5.073468288669820e-04
m0                             1.603029295382016e-03
m0                             7.401350889032252e-04
m0                             1.718642325880478e-03
m0                             2.148553883564312e-03
m0                             2.574602536994092e-03
m0                             3.264626787679649e-03
m0                             2.447845231375485e-03
m0                             4.442036874969480e-03
m0                             4.273230592611406e-03
m0                             6.836078647593321e-03
m0                             6.013245199273142e-03
m0                             6.564065774852437e-03
m0                             7.919481944929429e-03
m0                             7.356256842392459e-03
m0                             8.728119366465361e-03
m0                             8.390606398032040e-03
m0                             9.460897119699826e-03
m0                             9.596522659265611e-03
m0                             9.779973023722953e-03
m0                             1.006528146863825e-02
m0                             1.039245632323849e-02
m0                             1.129839020807731e-02
m0                             1.068146743178264e-02
m0                             1.116758509658163e-02
m0                             1.033385689962722e-02
m0                             9.709457606679447e-03
m0                             8.760210837053894e-03
m0                             8.267508005510980e-03
m0                             8.114210177115394e-03
m0                             7.902821336899783e-03
m0                             7.693144327071259e-03
m0                             7.472235105871893e-03
m0                             7.292509423447062e-03
m0                             7.021272870369435e-03
m0                             6.767804056567962e-03
m0                             6.758760626402053e-03
m0                             1.071901631154758e-03
m0                             1.485540721535941e-03
m0                             1.003770449790749e-03
m0                             1.982151898670857e-03
m0                             2.055553736523713e-03
m0                             2.350708717520221e-03
m0                             2.538021591665457e-03
m0                             3.113420699822657e-03
m0                             3.509142905705514e-03
m0                             6.685245406154488e-03
m0                             9.169795123343462e-03
m0                             -2.081657974574247e-03
m0                             -2.175324254032230e-02
m0                             -3.026725405675570e-02
m0                             -5.491462236949027e-02
m0                             -1.615204287023175e-02
m0                             -3.136118786515526e-02
m0                             -1.122024100304848e-01
m0                             -1.304846034581446e-01
m0                             -1.037756590451283e-01
m0                             -1.022168178501136e-01
m0                             1.050751204463175e-03
m0                             -4.863400383944624e-02
m0                             -6.494517645129726e-02
m0                             -7.092909361988510e-02
m0                             -8.182426995033723e-02
m0                             -6.460325291695924e-02
m0                             -9.064234099408960e-02
m0                             -6.688028232525678e-02
m0                             -5.930287634506232e-02
m0                             -3.503462266281780e-02
m0                             -7.456921771402336e-02
m0                             -3.786768332458929e-02
m0                             -5.072584194433841e-02
m0                             -3.256034271343373e-02
m0                             -3.837571356274403e-02
m0                             -2.441373733207270e-02
m0                             -3.991982871723757e-02
m0                             -3.429688497228105e-02
m0                             -3.203094974744244e-02
m0                             -2.296936352657792e-02
m0                             -3.123210255108544e-02
m0                             -2.365568412249038e-02
m0                             -3.098325828453361e-02
m0                             -1.478622908504253e-02
m0                             -1.968939569637701e-02
m0                             -1.763012004410910e-02
m0                             -1.611336146526390e-02
m0                             -2.387396156192668e-02
m0                             -1.367048596599977e-02
m0                             -2.716077246471386e-02
m0                             -1.546448877771705e-02
m0                             -2.115969852064462e-02
m0                             -2.378825517927986e-02
m0                             -1.846311555248109e-02
m0                             -1.599195618980341e-02
m0                             -1.885095098206928e-02
m0                             -1.135893192192652e-02
m0                             -1.607406940545646e-02
m0                             -1.882288588181077e-02
m0                             -2.067152004874191e-02
m0                             -1.642007925752247e-02
m0                             -1.574600231937846e-02
m0                             -1.846597808889993e-02
m0                             -1.562041756362159e-02
m0                             -1.550069767975545e-02
m0                             -1.690772084636076e-02
m0                             -1.500660225013522e-02
m0                             -1.673375945162882e-02
m0                             -1.247252082721377e-02
m0                             -1.368165824288241e-02
m0                             -1.084034499488006e-02
m0                             -1.519471911684477e-02
m0                             -1.343175840080060e-02
m0                             -1.487584146839946e-02
m0                             -1.427026857671054e-02
m0                             -1.058625208669479e-02
m0                             -9.017574538682505e-03
m0                             -1.092781794500437e-02
m0                             -9.802082006607541e-03
m0                             -1.071856414271517e-02
m0                             -7.468258743154977e-03
m0                             -5.042380158896288e-03
m0                             -7.677007740296287e-03
m0                             -4.175549314451193e-03
m0                             -8.893095880323205e-03
m0                             -4.827401625354838e-03
m0                             -7.035952131783731e-03
m0                             -6.405380162710942e-03
m0                             -8.246616114515304e-03
m0                             -3.429257428742820e-03
m0                             -4.200323185547341e-03
m0                             -3.738678323012832e-03
m0                             -1.118027247267982e-03
m0                             -2.196916531560787e-03
m0                             4.199551052442355e-05
m0                             -2.720877817673926e-03
m0                             2.423332893140851e-03
m0                             2.013778839168284e-03
m0                             4.132476583258275e-03
m0                             4.606058764187571e-03
m0                             3.965228229666409e-03
m0                             7.636236107337937e-03
m0                             5.648184897247411e-03
m0                             8.604177599194707e-03
m0                             7.449769031897905e-03
m0                             9.426047177711320e-03
m0                             8.968502546735009e-03
m0                             1.003539729015681e-02
m0                             9.833721528338770e-03
m0                             1.027286029836391e-02
m0                             1.135081836743736e-02
m0                             1.060024952966028e-02
m0                             1.124465179635148e-02
m0                             1.043813659668128e-02
m0                             9.603475817889352e-03
m0                             8.769525252469212e-03
m0                             8.269202969414127e-03
m0                             8.131169689228505e-03
m0                             7.900452404713968e-03
m0                             7.694904048871032e-03
m0                             7.480425137820203e-03
m0                             7.290365338066479e-03
m0                             7.034212954300504e-03
m0                             6.761175709189053e-03
m0                             6.760646579311647e-03
m0                             3.574823536951295e-04
m0                             1.269531742266397e-03
m0                             5.955907884740552e-04
m0                             1.694083660725149e-03
m0                             1.829955891171801e-03
m0                             1.820433217054322e-03
m0                             1.989236664359986e-03
m0                             1.531852093618650e-03
m0                             4.164253610096723e-03
m0                             -5.167934701772642e-03
m0                             -1.742802743079064e-02
m0                             -2.931858457605499e-02
m0                             2.037630622205488e-02
m0                             6.572470832568370e-02
m0                             8.831351826280603e-02
m0                             -9.961147119814912e-03
m0                             7.614909695487425e-02
m0                             7.484162858608058e-02
m0                             1.325477855149860e-01
m0                             1.225529366905133e-01
m0                             1.657512910092110e-01
m0                             -2.610481104174456e-02
m0                             9.369645028715530e-02
m0                             8.575737290175761e-02
m0                             1.710762627861174e-01
m0                             1.797871745437354e-01
m0                             1.532675586673285e-01
m0                             2.054862295778588e-01
m0                             1.574125386215846e-01
m0                             1.494432365690929e-01
m0                             9.571373419637690e-02
m0                             1.511219165144660e-01
m0                             8.899875557608349e-02
m0                             1.443551340690287e-01
m0                             9.991523771328632e-02
m0                             1.065432001317852e-01
m0                             8.056765912600862e-02
m0                             9.791077214228029e-02
m0                             7.997798505843771e-02
m0                             7.676229704926500e-02
m0                             7.653187856054669e-02
m0                             9.805699591667109e-02
m0                             9.539018167061540e-02
m0                             9.913776763240892e-02
m0                             6.985310543725645e-02
m0                             8.295630222822702e-02
m0                             6.190357264022409e-02
m0                             6.628575834426796e-02
m0                             7.183123249026444e-02
m0                             6.568125193328923e-02
m0                             7.494463362922024e-02
m0                             5.765349704266417e-02
m0                             6.519590566267520e-02
m0                             7.029154906473975e-02
m0                             5.006708574981376e-02
m0                             3.477892391725587e-02
m0                             3.971342938612308e-02
m0                             4.691815848909954e-02
m0                             6.157799220448724e-02
m0                             6.468292088792220e-02
m0                             6.302463698745626e-02
m0                             6.116015603644898e-02
m0                             5.831441740910445e-02
m0                             5.982823331021044e-02
m0                             5.471379840372046e-02
m0                             5.298779944599101e-02
m0                             5.141708806322828e-02
m0                             4.688817013657343e-02
m0                             4.760074470845797e-02
