Parameter Name                 Value
m0                             1.034919047326665e-03
m0                             1.119778525238345e-03
m0                             1.350653253764448e-03
m0                             6.804088366627917e-04
m0                             2.649179446933417e-04
m0                             1.503407318305915e-03
m0                             2.332109885758962e-03
m0                             1.237747844338945e-03
m0                             2.897976216437011e-03
m0                             2.558035728120028e-03
m0                             1.828199802303693e-03
m0                             2.375152503794168e-03
m0                             1.139508016955775e-03
m0                             2.846991911039730e-05
m0                             -1.624032168642477e-03
m0                             -5.257963251975081e-04
m0                             -1.240303256249294e-03
m0                             6.193578302118275e-04
m0                             -5.568538750720984e-04
m0                             1.544092621483554e-03
m0                             2.872101200597898e-03
m0                             4.796349846731308e-03
m0                             4.780168625014888e-03
m0                             4.916564369609550e-03
m0                             3.023089802961358e-03
m0                             4.055913989548376e-03
m0                             4.857300625048304e-03
m0                             4.955936921373164e-03
m0                             4.880071011773908e-03
m0                             5.296490817568267e-03
m0                             5.288420330506265e-03
m0                             6.575612106203932e-03
m0                             3.403563885564856e-03
m0                             6.381192230825239e-03
m0                             3.507110921089351e-03
m0                             5.195417783900744e-03
m0                             1.644235056267219e-03
m0                             5.479124639681058e-03
m0                             3.387958508249298e-03
m0                             5.703409785955155e-03
m0                             4.044094873254849e-03
m0                             4.967588137387494e-03
m0                             4.543131849565289e-03
m0                             3.635704408153791e-03
m0                             3.606056280437809e-03
m0                             3.292477700634633e-03
m0                             5.522247566906811e-03
m0                             3.845517569517643e-03
m0                             4.565910423809206e-03
m0                             3.182795884670932e-03
m0                             4.082066327813217e-03
m0                             4.725981091503246e-03
m0                             2.640808120636751e-03
m0                             4.461796698764719e-03
m0                             2.884248883981724e-03
m0                             1.657625964419654e-03
m0                             3.798558526854897e-03
m0                             2.427855488460748e-03
m0                             5.887898299524088e-03
m0                             8.037361623452968e-04
m0                             3.527787731949412e-03
m0                             -8.475332776009282e-04
m0                             2.700082026450726e-03
m0                             1.602986107341793e-03
m0                             3.335628124459413e-03
m0                             -3.486758957682220e-04
m0                             2.552360152255281e-03
