Parameter Name                 Value
m0                             9.835768334451305e-04
m0                             1.069071906653613e-03
m0                             1.341530860330455e-03
m0                             6.502691580531359e-04
m0                             2.398042623187684e-04
m0                             1.478781981646673e-03
m0                             2.338741364258685e-03
m0                             1.256043425324941e-03
m0                             3.039962970496645e-03
m0                             2.696442663970127e-03
m0                             1.943651219188550e-03
m0                             2.559061806144867e-03
m0                             1.474797526300705e-03
m0                             4.986272750991883e-04
m0                             -8.579890594345515e-04
m0                             -1.169140977231696e-04
m0                             -6.905071902566219e-04
m0                             8.938353902986848e-04
m0                             -3.177534416333081e-04
m0                             1.677429523297627e-03
m0                             2.776643507275850e-03
m0                             4.777329296692345e-03
m0                             4.709110853288806e-03
m0                             4.863482846006661e-03
m0                             3.012272400714111e-03
m0                             3.975142224898564e-03
m0                             4.924068541094308e-03
m0                             4.897207607557547e-03
m0                             4.935424652632296e-03
m0                             5.265782184169306e-03
m0                             5.296398782726487e-03
m0                             6.520559144230477e-03
m0                             3.457054011835404e-03
m0                             6.417885961165681e-03
m0                             3.585003831609708e-03
m0                             5.250572834420607e-03
m0                             1.759920828582901e-03
m0                             5.624048422429384e-03
m0                             3.525466447185316e-03
m0                             5.816353317338657e-03
m0                             4.138394466412595e-03
m0                             4.969961581118038e-03
m0                             4.505451296538025e-03
m0                             3.653441070108056e-03
m0                             3.564537797131763e-03
m0                             3.255187227512192e-03
m0                             5.568608503241483e-03
m0                             3.935098690500941e-03
m0                             4.613231265492853e-03
m0                             3.244655418104720e-03
m0                             4.058815642891082e-03
m0                             4.672002361648865e-03
m0                             2.485428455299038e-03
m0                             4.514729116582316e-03
m0                             2.854165873281053e-03
m0                             1.756626298112944e-03
m0                             3.848156855288758e-03
m0                             2.636456481877712e-03
m0                             5.760469510799911e-03
m0                             1.008067505860371e-03
m0                             3.462086554402878e-03
m0                             -7.887444134333258e-04
m0                             2.833683231916930e-03
m0                             1.841126514989369e-03
m0                             3.355982824029004e-03
m0                             -2.928286800183171e-04
m0                             2.303430968418219e-03
m0                             6.985446039605681e-04
m0                             2.138203481245857e-03
m0                             2.373260367739039e-03
m0                             1.691225151608032e-03
m0                             2.151727808395909e-03
m0                             1.448049082245817e-03
m0                             2.274184748411301e-03
m0                             1.472532740666685e-03
m0                             -1.072966372435124e-04
m0                             1.636875786118702e-03
m0                             2.190206585982269e-03
m0                             1.710020572511598e-03
m0                             2.288687402960169e-03
m0                             2.619197404434924e-03
m0                             2.640905146372080e-03
m0                             2.683807005705323e-03
m0                             1.224242090168159e-03
m0                             1.438933790055950e-03
m0                             1.674426028937560e-03
m0                             4.086973664390759e-04
m0                             7.891442864482253e-04
m0                             -3.226201099470077e-04
m0                             1.684286566584948e-03
m0                             3.460645162896590e-03
m0                             -6.654552654452531e-04
m0                             4.965729224685213e-03
m0                             -1.534923892089397e-03
m0                             1.074376021874017e-03
m0                             -8.565764234586431e-04
m0                             -2.430082093604505e-03
m0                             3.593768600464987e-03
m0                             -1.091241966660313e-03
m0                             5.170978900115131e-03
m0                             -1.214665176061721e-03
m0                             2.541250830394554e-03
m0                             2.064117851516116e-03
m0                             4.883458111924901e-04
m0                             1.729110396298213e-03
m0                             -9.247888261562552e-04
m0                             1.177340618349934e-04
m0                             -4.012730131507988e-04
m0                             9.433806521879083e-04
m0                             3.384805802007855e-05
m0                             2.177331166167925e-03
m0                             1.932082560178391e-04
m0                             1.735189535441337e-03
m0                             1.340695922052790e-05
m0                             1.508080755169526e-03
m0                             1.149021746608838e-03
m0                             1.142040281511780e-03
m0                             2.910287343285720e-03
m0                             -9.552625709118012e-05
m0                             8.365203677171413e-03
m0                             1.291319967132848e-02
m0                             1.774316023907168e-02
m0                             1.338101263801470e-02
m0                             1.405353147223901e-02
m0                             1.597062383362115e-02
m0                             9.150002562682759e-03
m0                             7.459618904943316e-03
m0                             8.377498923264101e-03
m0                             5.309907746535433e-03
m0                             9.859090772828497e-04
m0                             1.068310729504979e-03
m0                             1.324781722826487e-03
m0                             6.558410079165066e-04
m0                             2.152711544700354e-04
m0                             1.503040933345130e-03
m0                             2.516673189719345e-03
m0                             1.317999773242110e-03
m0                             3.353445689574911e-03
m0                             2.782097680998152e-03
m0                             2.306137124262663e-03
m0                             3.889499913613303e-03
m0                             1.484845366120572e-03
m0                             -9.303014761904060e-04
m0                             -2.631858673463182e-02
m0                             -1.516022454585627e-02
m0                             -6.041725642962266e-02
m0                             -6.822530167361207e-02
m0                             -4.620439749403535e-02
m0                             -7.180969894494242e-02
m0                             -7.854981911532918e-02
m0                             -1.161676482943775e-01
m0                             -1.038574071193584e-01
m0                             -9.012410530229888e-02
m0                             -4.352197899563058e-03
m0                             -4.684156306139325e-02
m0                             -5.717204578653620e-02
m0                             -6.327716115285605e-02
m0                             -7.217887408618409e-02
m0                             -5.728023126220067e-02
m0                             -7.974873042352550e-02
m0                             -5.444681180886028e-02
m0                             -5.145489327394158e-02
m0                             -3.059839870192326e-02
m0                             -7.364452407866599e-02
m0                             -3.483910805799497e-02
m0                             -4.016017741438906e-02
m0                             -2.502307161462477e-02
m0                             -3.864016018697570e-02
m0                             -2.333419946703314e-02
m0                             -4.037158350176841e-02
m0                             -3.401591179202206e-02
m0                             -3.116133869614211e-02
m0                             -2.110345906918544e-02
m0                             -3.047719660836897e-02
m0                             -2.290562506948996e-02
m0                             -3.203762223570152e-02
m0                             -1.544033776504948e-02
m0                             -2.098826069794527e-02
m0                             -1.666105363272278e-02
m0                             -2.065525713696071e-02
m0                             -2.219424650367072e-02
m0                             -1.537396734816603e-02
m0                             -2.533483733402042e-02
m0                             -1.782335551373720e-02
m0                             -1.711239940020831e-02
m0                             -2.336163133641773e-02
m0                             -1.632849808064281e-02
m0                             -1.715414321602346e-02
m0                             -1.747737919523203e-02
m0                             -1.437803609742432e-02
m0                             -1.227118199025990e-02
m0                             -2.155853228639592e-02
m0                             -1.569434977842199e-02
m0                             -1.793642378752302e-02
m0                             -1.167615407363977e-02
m0                             -1.892960658069896e-02
m0                             -1.478629290160893e-02
m0                             -1.501043273786137e-02
m0                             -1.732457221097726e-02
m0                             -1.410246645074469e-02
m0                             -1.681994507885966e-02
m0                             -1.264189557382662e-02
m0                             -1.287514705981871e-02
m0                             -1.119052280584687e-02
m0                             -1.450619124292684e-02
m0                             -1.121229714150427e-02
m0                             -1.613099020221457e-02
m0                             -1.355249481456607e-02
m0                             -1.186169563800112e-02
m0                             -8.878513355542956e-03
m0                             -1.719658627342846e-02
m0                             -8.592313080963924e-03
m0                             -1.118625298392777e-02
m0                             -6.835263466957467e-03
m0                             -3.186684918978530e-03
m0                             -9.334356270075136e-03
m0                             -7.192154910877876e-03
m0                             -1.322205273136602e-02
m0                             -1.015289166285645e-02
m0                             -1.604010398426343e-02
m0                             -9.542482376139232e-03
m0                             -1.305663803839458e-02
m0                             -2.179281648568428e-03
m0                             -3.812394671868039e-03
m0                             -2.790572311277601e-03
m0                             1.019608598267018e-04
m0                             -3.975115456691213e-03
m0                             -1.206292787371314e-03
m0                             -5.562184760264628e-03
m0                             -2.383433057265683e-03
m0                             -4.394928575988514e-03
m0                             -2.624687013049948e-03
m0                             -2.429611094972092e-03
m0                             8.775684728528419e-04
m0                             -6.492446337526598e-03
m0                             -6.509030479931887e-03
m0                             -1.059235274029534e-03
m0                             -6.113066247264388e-03
m0                             -1.527282469474253e-03
m0                             -1.843946988477348e-03
m0                             1.284120481117881e-03
m0                             4.301561538468686e-04
