# SN x0 x1 c t0 SIM_x0 SIM_x1 SIM_c SIM_t0 SALT2_x0 SALT2_x1 SALT2_c SALT2_t0
18804 1.2352935240e-04 1.2250511987 -0.0786883831 54392.8242000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
18855 2.2790102507e-04 0.2114429414 -0.0161154399 54385.9727000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
2004fu 2.8583231790e-02 -1.7756660003 0.0871991733 53326.0090000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
2009kk 2.3195928507e-02 -1.7682723828 -0.0493452319 55126.8281000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
PS15cwx 4.5491112087e-03 -2.2939234825 0.0088260651 57348.5039000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
460003 1.5409896024e-04 -1.3010892448 0.0123904023 56278.5312000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
200132 7.0779456457e-05 0.4567987446 -0.0137853450 55841.1797000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
05D1ej 1.3545172711e-05 -2.1130356438 0.3224513477 53664.0010000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
Gaia16agf 6.0257176135e-03 1.5873126646 -0.0110781973 57455.8555000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
560054 1.5360528312e-05 2.2899686229 -0.0640387074 56574.7734000000 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.00 -9.9000000000e+01 -99.0000000000 -99.0000000000 -99.0000000000
