SNname,HostName,redshift,type,data_file,download_url
ASASSN-13ch,CGCG 023-030,0.01646,Ia,ASASSN-13ch_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-13ch_uvotB15.1.dat
ASASSN-13cj,CGCG 051-075,0.018,Ia,ASASSN-13cj_uvotB25.0.nogalsub.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-13cj_uvotB25.0.nogalsub.dat
ASASSN-13dd,NGC 2765,0.01255,Ia,ASASSN-13dd_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-13dd_uvotB15.1.dat
ASASSN-14ad,KUG 1237+183,0.026425,Ia,ASASSN-14ad_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-14ad_uvotB15.1.dat
ASASSN-14ar,IC 527,0.02298,Ia,ASASSN-14ar_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-14ar_uvotB15.1.dat
ASASSN-14eu,MCG -01-38-15,0.022722,Ia-pec?,ASASSN-14eu_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-14eu_uvotB15.1.dat
ASASSN-14fa,ESO 416-G39,0.022589,Ia,ASASSN-14fa_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-14fa_uvotB15.1.dat
ASASSN-14kd,2MASX J22532475+0447583,0.026,Ia-91T,ASASSN-14kd_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-14kd_uvotB15.1.dat
ASASSN-14kr,GALEXASC J125413.02-073849.5,0.014,Ia,ASASSN-14kr_uvotB25.0.nogalsub.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-14kr_uvotB25.0.nogalsub.dat
ASASSN-14lp,NGC 4666,0.0051,Ia,ASASSN-14lp_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-14lp_uvotB15.1.dat
ASASSN-14lw,GALEXASC J010647.95-465904.1,0.023,Ia,ASASSN-14lw_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-14lw_uvotB15.1.dat
ASASSN-15aj,NGC 3449,0.010921,Ia,ASASSN-15aj_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15aj_uvotB15.1.dat
ASASSN-15ar,CGCG 439-010,0.02882,Ia,ASASSN-15ar_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15ar_uvotB15.1.dat
ASASSN-15cq,CGCG 218-007,0.027276,Ia,ASASSN-15cq_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15cq_uvotB15.1.dat
ASASSN-15ga,NGC 4866,0.006631,Ia-99by,ASASSN-15ga_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15ga_uvotB15.1.dat
ASASSN-15hy,Unknown,0.025,Ia-SC,ASASSN-15hy_uvotB25.0.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15hy_uvotB25.0.dat
ASASSN-15kg,2MASX J08401168-0435369,0.014257,Ia-pec?,ASASSN-15kg_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15kg_uvotB15.1.dat
ASASSN-15od,MCG -01-07-04,0.017989,Ia,ASASSN-15od_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15od_uvotB15.1.dat
ASASSN-15og, ,0.0437,Ia-CSM,ASASSN-15og_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15og_uvotB15.1.dat
ASASSN-15pz, ,0.014903,Ia-SC,ASASSN-15pz_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15pz_uvotB15.1.dat
ASASSN-15qc,UGC 402,0.017649,Ia,ASASSN-15qc_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15qc_uvotB15.1.dat
ASASSN-15rq,GALEXASC J000802.78-363348.1,0.025,Ia,ASASSN-15rq_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15rq_uvotB15.1.dat
ASASSN-15rw,GALEXASC J021558.44+121415.2,0.0189,Ia,ASASSN-15rw_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15rw_uvotB15.1.dat
ASASSN-15sf,APMUKS(BJ) B000853.90-064231.3,0.027,Ia,ASASSN-15sf_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15sf_uvotB15.1.dat
ASASSN-15so,NGC 3583,0.007125,Ia,ASASSN-15so_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15so_uvotB15.1.dat
ASASSN-15ti,2MASX J03051061+3754003,0.016,Ia,ASASSN-15ti_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15ti_uvotB15.1.dat
ASASSN-15tj,SDSS J075527.63+520911.1,0.022265,Ia,ASASSN-15tj_uvotB15.1.dat,https://raw.githubusercontent.com/pbrown801/SOUSA/master/data/ASASSN-15tj_uvotB15.1.dat
